CustomerID,Lookalikes
C0153,"[('C0143', 1.0), ('C0093', 1.0), ('C0101', 1.0)]"
C0154,"[('C0158', 0.98), ('C0118', 0.98), ('C0066', 0.97)]"
C0155,"[('C0138', 1.0), ('C0037', 1.0), ('C0170', 1.0)]"
C0156,"[('C0028', 1.0), ('C0065', 1.0), ('C0093', 1.0)]"
C0157,"[('C0094', 1.0), ('C0172', 1.0), ('C0144', 1.0)]"
C0158,"[('C0066', 1.0), ('C0185', 1.0), ('C0016', 1.0)]"
C0159,"[('C0193', 1.0), ('C0110', 0.99), ('C0095', 0.99)]"
C0160,"[('C0147', 1.0), ('C0049', 0.99), ('C0161', 0.99)]"
C0161,"[('C0049', 1.0), ('C0134', 1.0), ('C0147', 1.0)]"
C0162,"[('C0004', 1.0), ('C0075', 0.99), ('C0175', 0.99)]"
C0163,"[('C0046', 1.0), ('C0087', 1.0), ('C0149', 1.0)]"
C0164,"[('C0140', 0.99), ('C0061', 0.99), ('C0069', 0.97)]"
C0165,"[('C0004', 1.0), ('C0075', 1.0), ('C0018', 0.99)]"
C0166,"[('C0031', 1.0), ('C0019', 1.0), ('C0088', 0.99)]"
C0167,"[('C0005', 1.0), ('C0020', 1.0), ('C0128', 1.0)]"
C0168,"[('C0196', 1.0), ('C0006', 1.0), ('C0079', 1.0)]"
C0169,"[('C0039', 1.0), ('C0179', 1.0), ('C0195', 1.0)]"
C0170,"[('C0037', 1.0), ('C0096', 1.0), ('C0171', 1.0)]"
C0171,"[('C0037', 1.0), ('C0170', 1.0), ('C0138', 0.99)]"
C0172,"[('C0144', 1.0), ('C0157', 1.0), ('C0094', 1.0)]"
C0173,"[('C0145', 1.0), ('C0087', 1.0), ('C0046', 1.0)]"
C0174,"[('C0055', 1.0), ('C0142', 1.0), ('C0176', 1.0)]"
C0175,"[('C0045', 0.99), ('C0041', 0.99), ('C0068', 0.99)]"
C0176,"[('C0010', 1.0), ('C0055', 1.0), ('C0174', 1.0)]"
C0177,"[('C0198', 1.0), ('C0110', 1.0), ('C0129', 0.99)]"
C0178,"[('C0097', 0.99), ('C0035', 0.99), ('C0112', 0.99)]"
C0179,"[('C0039', 1.0), ('C0169', 1.0), ('C0195', 1.0)]"
C0181,"[('C0109', 0.89), ('C0098', 0.88), ('C0008', 0.86)]"
C0182,"[('C0143', 1.0), ('C0153', 1.0), ('C0065', 0.99)]"
C0183,"[('C0006', 0.99), ('C0117', 0.99), ('C0187', 0.99)]"
C0184,"[('C0185', 1.0), ('C0044', 1.0), ('C0066', 1.0)]"
C0185,"[('C0044', 1.0), ('C0184', 1.0), ('C0158', 1.0)]"
C0186,"[('C0131', 1.0), ('C0120', 1.0), ('C0191', 1.0)]"
C0187,"[('C0079', 1.0), ('C0196', 1.0), ('C0006', 1.0)]"
C0188,"[('C0054', 1.0), ('C0099', 1.0), ('C0122', 1.0)]"
C0189,"[('C0121', 1.0), ('C0151', 1.0), ('C0142', 1.0)]"
C0190,"[('C0111', 1.0), ('C0003', 1.0), ('C0134', 1.0)]"
C0191,"[('C0080', 1.0), ('C0120', 1.0), ('C0131', 1.0)]"
C0192,"[('C0130', 1.0), ('C0009', 1.0), ('C0128', 1.0)]"
C0193,"[('C0159', 1.0), ('C0110', 1.0), ('C0198', 0.99)]"
C0194,"[('C0169', 0.96), ('C0039', 0.96), ('C0179', 0.96)]"
C0195,"[('C0179', 1.0), ('C0136', 1.0), ('C0039', 1.0)]"
C0196,"[('C0168', 1.0), ('C0079', 1.0), ('C0006', 1.0)]"
C0197,"[('C0062', 1.0), ('C0032', 1.0), ('C0088', 1.0)]"
C0198,"[('C0177', 1.0), ('C0110', 1.0), ('C0129', 0.99)]"
C0199,"[('C0073', 0.99), ('C0159', 0.99), ('C0110', 0.99)]"
C0200,"[('C0082', 1.0), ('C0104', 1.0), ('C0148', 1.0)]"
